time,open,high,low,close,volume
1503410700,3857.88,3857.88,3857.24,3857.3,2.091128
1503411000,3857.3,3902.99,3857.3,3902,2.121445
1503411300,3857.09,3857.09,3857.09,3857.09,1.319208
1503411600,3875.31,3875.31,3857.09,3857.09,6.415226999999999
1503411900,3851.45,3857.09,3786.81,3786.81,5.819608000000001
1503412200,3786.81,3786.81,3786.81,3786.81,0.528408
1503412500,3817.9,3849,3786.81,3849,0.97631
1503412800,3849,3849,3817.9,3817.9,0.39678800000000003
1503413100,3817.9,3849,3817.9,3849,0.259397
1503413400,3833.44,3849,3817.9,3817.9,1.253601
1503413700,3817.9,3849,3817.9,3849,1.166023
1503414000,3829.5,3921.63,3810.07,3893.29,6.216019
1503414300,3893.29,3921.54,3854.04,3870,1.823745
1503414600,3870.01,3870.05,3870.01,3870.05,2.313945
1503414900,3870.06,3919.97,3860.01,3860.99,2.735204
1503415200,3860.99,3899.99,3860.55,3874.41,3.1934839999999998
1503415500,3874.41,3874.41,3874.41,3874.41,3.3636749999999997
1503415800,3899.99,3899.99,3860.5,3869.46,2.6133749999999996
1503416100,3869.46,3919.97,3869.46,3919.94,5.815281000000001
1503416400,3919.94,3919.94,3858.26,3892.37,1.0775860000000002
1503416700,3892.36,3892.37,3860.1,3860.17,2.443517
1503417000,3860.17,3892.37,3858.23,3858.24,2.160973
1503417300,3858.24,3892.37,3858.23,3858.23,5.0076339999999995
1503417600,3858.23,3858.23,3858.23,3858.23,0.988915
1503417900,3858.23,3891,3853.47,3876.44,3.473223
1503418200,3892.36,3892.36,3857.14,3874.45,2.6881130000000004
1503418500,3883.41,3893.28,3874.45,3893.28,5.360292
1503418800,3893.28,3912.34,3893.28,3893.28,2.9170279999999997
1503419100,3893.28,3919.99,3893.28,3910.92,2.6024570000000002
1503419400,3919.99,3919.99,3892.37,3892.37,2.911733
1503419700,3892.37,3892.37,3892.37,3892.37,2.9284499999999998
1503420000,3952.89,3952.89,3892.38,3952.49,3.6748000000000003
1503420300,3952.49,3952.49,3874.45,3905.84,4.568903
1503420600,3905.84,3905.84,3905.84,3905.84,1.463138
1503420900,3905.84,3905.84,3905.84,3905.84,1.202726
1503421200,3905.84,3948.81,3888.79,3888.79,2.8020760000000005
1503421500,3888.79,3969.58,3888.79,3965.27,7.269795
1503421800,3965.27,3992.01,3945.73,3945.73,3.42807
1503422100,3935.01,3998.69,3935.01,3998.61,3.7835
1503422400,3998.61,3998.99,3940.01,3945.01,2.545261
1503422700,3945.01,3972,3945.01,3950.55,5.4318800000000005
1503423000,3998.78,3998.78,3950.56,3950.56,3.845428
1503423300,3979,3985.87,3951.01,3985.84,3.0419060000000004
1503423600,3985.84,3985.84,3945.01,3945.01,3.745837
1503423900,3945.01,3975.85,3945,3945,0.898838
1503424200,3975.85,3975.85,3934.12,3938.41,4.216745
1503424500,3940,3971.83,3940,3943,4.269792
1503424800,3944,3971.83,3944,3954.5,1.070376
1503425100,3954.5,3989,3954.5,3989,1.498029
1503425400,3989,3998.99,3965.08,3965.28,2.068245
1503425700,3965.28,3999,3953.15,3979.02,5.680211
1503426000,3989.02,4067,3977.14,4067,6.950613
1503426300,4026.83,4063.69,4026.83,4063.69,4.735684
1503426600,4063.69,4104.82,4063.69,4066.67,6.264907000000001
1503426900,4066.67,4088.08,4026.83,4088.08,2.159546
1503427200,4042.77,4075.24,4042.77,4045.22,1.208043
1503427500,4045.22,4088.09,4045.21,4056.81,8.244511
